CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1306	75	2	2	1.309	2.066	0	1				
1306	75	2	3	7.024	12.895	2.85	0				
1306	75	2	4	0.772	1.424	3.56	0				
1306	75	2	5	0.483	0.884	0	0				
1310	76	4	1	0.384	0.551	2.76	0				
1310	76	4	2	10.325	37.322	0	0				
1310	76	4	3	0.045	0.111	2.76	0				
1310	76	4	4	1.325	30.295	0	1				
1310	76	4	5	1.331	9.861	3.37	0				
1315	77	4	1	0.231	2.347	5.7	0				
1315	77	4	2	0.332	0.45	4.9	0				
1315	77	4	3	0	0.142	0	0				
1315	77	4	4	0.526	3.918	5.71	1				
1315	77	4	5	2.063	3.878	5.7	0				
1317	78	5	1	0.231	2.347	5.7	0				
1317	78	5	2	0.106	0.327	0	0				
1317	78	5	3	1.309	2.066	2.85	0				
1317	78	5	4	0.772	1.424	2.19	0				
1317	78	5	5	7.024	12.895	0	1				
1324	79	4	1	3.4	17.619	6	0				
1324	79	4	2	1.395	0.527	0	0				
1324	79	4	3	0	34.996	0	0				
1324	79	4	4	4.409	19.541	6	1				
1324	79	4	5	0.772	1.424	6.68	0				
1332	80	1	1	2.304	8.249	0	1				
1332	80	1	2	0.324	6.322	0	0				
1332	80	1	3	0	0.04	21.28	0				
1332	80	1	4	0.666	1.355	16	0				
1332	80	1	5	3.4	17.619	6	0				
1335	81	4	1	3.61	5.189	6.46	0				
1335	81	4	2	0.585	0.781	0	0				
1335	81	4	3	0.258	0.813	4.93	0				
1335	81	4	4	0.35	1.083	0	1				
1335	81	4	5	2.304	8.249	0	0				
1336	82	3	1	1.447	2	8.96	0				
1336	82	3	2	0.552	3.932	0	0				
1336	82	3	3	0.401	4.547	9.84	1				
1336	82	3	4	2.705	89.841	6	0				
1336	82	3	5	0.35	1.083	0	0				
1337	83	2	1	0.106	0.327	8.36	0				
1337	83	2	2	1.309	2.066	0	1				
1337	83	2	3	7.024	12.895	8.36	0				
1337	83	2	4	0.772	1.424	10.08	0				
1337	83	2	5	0.552	3.932	0	0				
1339	84	5	1	1.19	1.597	17.76	0				
1339	84	5	2	0.552	3.932	9	0				
1339	84	5	3	1.447	2	11.56	0				
1339	84	5	4	20.452	83.361	13	0				
1339	84	5	5	2.705	89.841	13	1				
1344	85	2	1	1.309	2.066	0	0				
1344	85	2	2	7.024	12.895	2.85	1				
1344	85	2	3	2.469	17.977	4.95	0				
1344	85	2	4	0.772	1.424	3.56	0				
1344	85	2	5	2.322	0.867	4.8	0				
1346	86	5	1	1.309	2.066	0	0				
1346	86	5	2	0.889	0.48	0	0				
1346	86	5	3	1.199	13.735	0	0				
1346	86	5	4	0.267	3.67	8.29	0				
1346	86	5	5	4.358	16.2	4.76	1				
1346	87	1	1	4.358	16.2	4.76	1				
1346	87	1	2	0.889	0.48	0	0				
1346	87	1	3	1.199	13.735	0	0				
1346	87	1	4	0.267	3.67	8.29	0				
1346	87	1	5	2.939	2.361	8.29	0				
1348	88	5	1	0.267	3.67	8.08	0				
1348	88	5	2	0.091	0.401	0	0				
1348	88	5	3	1.199	13.735	2.68	0				
1348	88	5	4	4.358	16.2	2.76	0				
1348	88	5	5	0.889	0.48	2.68	1				
1349	89	5	1	0.267	3.67	8.08	0				
1349	89	5	2	0.091	0.401	0	0				
1349	89	5	3	0.889	0.48	4.76	0				
1349	89	5	4	1.199	13.735	4.76	0				
1349	89	5	5	4.358	16.2	0	1				
1352	90	3	1	0.889	0.48	2.68	0				
1352	90	3	2	0.091	0.401	0	0				
1352	90	3	3	4.358	16.2	2.76	1				
1352	90	3	4	1.199	13.735	2.68	0				
1352	90	3	5	0.267	3.67	8.08	0				
1354	91	5	1	0.267	3.67	8.29	0				
1354	91	5	2	0.091	0.401	1.69	0				
1354	91	5	3	0.889	0.48	5.6	0				
1354	91	5	4	1.199	13.735	5.6	0				
1354	91	5	5	4.358	16.2	1.69	1				
1354	92	5	1	1.381	1.629	7.43	0				
1354	92	5	2	0.091	0.401	1.69	0				
1354	92	5	3	0.889	0.48	5.6	0				
1354	92	5	4	1.199	13.735	5.6	0				
1354	92	5	5	4.358	16.2	1.69	1				
1354	93	5	1	1.199	13.735	5.6	0				
1354	93	5	2	0.091	0.401	1.69	0				
1354	93	5	3	4.358	16.2	1.69	0				
1354	93	5	4	0.889	0.48	5.6	0				
1354	93	5	5	0.898	56.296	12.96	1				
1354	94	4	1	0.889	0.48	5.6	0				
1354	94	4	2	0.091	0.401	1.69	0				
1354	94	4	3	4.358	16.2	1.69	0				
1354	94	4	4	0.898	56.296	12.96	1				
1354	94	4	5	1.199	13.735	5.6	0				
1359	95	1	1	1.617	1.259	0	1				
1359	95	1	2	0.217	0.216	0	0				
1359	95	1	3	1.816	3.919	6.09	0				
1359	95	1	4	0.233	1.47	0	0				
1359	95	1	5	0.889	0.48	3.1	0				
1362	96	3	1	1.816	3.919	18.84	0				
1362	96	3	2	0.217	0.216	0	0				
1362	96	3	3	1.617	1.259	0	1				
1362	96	3	4	0.233	1.47	0	0				
1362	96	3	5	0.163	1.31	22	0				
1363	97	1	1	1.617	1.259	0	1				
1363	97	1	2	0.217	0.216	0	0				
1363	97	1	3	1.816	3.919	6.09	0				
1363	97	1	4	0.233	1.47	0	0				
1363	97	1	5	0.163	1.31	7.59	0				
1363	98	1	1	3.418	6.65	10.75	1				
1363	98	1	2	0.217	0.216	0	0				
1363	98	1	3	1.617	1.259	0	0				
1363	98	1	4	0.233	1.47	0	0				
1363	98	1	5	1.816	3.919	6.09	0				
1369	99	2	1	0.217	0.216	0	0				
1369	99	2	2	1.617	1.259	0	1				
1369	99	2	3	1.816	3.919	18.84	0				
1369	99	2	4	0.233	1.47	0	0				
1369	99	2	5	0.163	1.31	22	0				
1378	100	4	1	0.233	1.47	0	0				
1378	100	4	2	0.217	0.216	0	0				
1378	100	4	3	1.816	3.919	6.09	0				
1378	100	4	4	1.617	1.259	0	1				
1378	100	4	5	0.163	1.31	7.59	0				
1378	101	4	1	0.233	1.47	0	0				
1378	101	4	2	0.217	0.216	0	0				
1378	101	4	3	1.617	1.259	0	0				
1378	101	4	4	1.223	42.422	9.19	1				
1378	101	4	5	1.816	3.919	6.09	0				
1382	102	3	1	1.617	1.259	0	0				
1382	102	3	2	0.217	0.216	0	0				
1382	102	3	3	1.223	42.422	9.19	1				
1382	102	3	4	0.233	1.47	0	0				
1382	102	3	5	1.816	3.919	6.09	0				
1382	103	2	1	0.217	0.216	0	0				
1382	103	2	2	1.617	1.259	0	1				
1382	103	2	3	1.816	3.919	18.84	0				
1382	103	2	4	0.233	1.47	0	0				
1382	103	2	5	0.163	1.31	22	0				
1385	104	1	1	1.617	1.259	0	1				
1385	104	1	2	0.217	0.216	0	0				
1385	104	1	3	1.816	3.919	6.09	0				
1385	104	1	4	0.233	1.47	0	0				
1385	104	1	5	0.163	1.31	7.59	0				
1386	105	2	1	0.217	0.216	0	0				
1386	105	2	2	1.617	1.259	0	1				
1386	105	2	3	1.816	3.919	6.09	0				
1386	105	2	4	0.233	1.47	0	0				
1386	105	2	5	0.163	1.31	7.59	0				
1389	106	3	1	1.816	3.919	18.84	0				
1389	106	3	2	0.217	0.216	0	0				
1389	106	3	3	1.617	1.259	0	1				
1389	106	3	4	0.233	1.47	0	0				
1389	106	3	5	0.163	1.31	22	0				
1390	107	3	1	1.816	3.919	18.84	0				
1390	107	3	2	0.217	0.216	0	0				
1390	107	3	3	1.617	1.259	0	1				
1390	107	3	4	0.233	1.47	0	0				
1390	107	3	5	0.163	1.31	22	0				
1392	108	4	1	1.73	15.564	11.8	0				
1392	108	4	2	1.184	0.228	9.72	0				
1392	108	4	3	3.153	6.816	11.8	0				
1392	108	4	4	0.526	3.918	0	1				
1392	108	4	5	0.233	1.47	0	0				
1401	109	2	1	0.834	1.25	0	0				
1401	109	2	2	0.629	0.779	0	1				
1401	109	2	3	1.044	4.743	0	0				
1401	109	2	4	1.622	7.598	7.08	0				
1401	109	2	5	0.526	3.918	0	0				
1401	110	5	1	1.817	1.498	8.82	0				
1401	110	5	2	0.834	1.25	0	0				
1401	110	5	3	1.044	4.743	0	0				
1401	110	5	4	1.622	7.598	7.08	0				
1401	110	5	5	0.629	0.779	0	1				
1401	111	5	1	1.622	7.598	7.08	0				
1401	111	5	2	0.629	0.779	0	0				
