ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
2281	1199	13735	310	889	480	310	4358	16200	490	1934	23864	888	2014	2229	958	3
2285	267	3670	2544	1199	13735	0	4358	16200	1424	889	480	0	1934	23864	2000	4
2285	4358	16200	1424	1199	13735	0	889	480	0	267	3670	2544	2939	2361	2544	3
2287	1617	1259	0	217	216	0	1816	3919	609	233	1470	0	889	480	0	1
2290	163	1310	2200	217	216	0	1816	3919	1884	233	1470	0	1617	1259	0	5
2318	1617	1259	0	217	216	0	1816	3919	609	233	1470	0	163	1310	759	1
2323	233	1470	0	217	216	0	1617	1259	0	78	112	609	933	1770	283	4
2326	81	491	0	1028	4333	265	1491	690	0	1548	12008	265	1556	434	511	2
2347	233	1470	609	78	112	0	1816	3919	0	1223	42422	1106	1491	690	0	4
2347	646	194	737	78	112	0	1816	3919	0	233	1470	609	1617	1259	609	5
2352	889	480	0	4358	16200	476	1199	13735	0	267	3670	829	1816	3919	0	2
2352	4358	16200	476	889	480	0	1199	13735	0	267	3670	829	2939	2361	829	1
2353	889	480	1516	91	401	512	4358	16200	512	1199	13735	1516	267	3670	2544	3
2353	4358	16200	512	91	401	512	889	480	1516	1199	13735	1516	1381	1629	3060	1
2356	1934	23864	888	889	480	0	1199	13735	0	267	3670	829	4358	16200	476	5
2356	2939	2361	829	889	480	0	1199	13735	0	267	3670	829	4358	16200	476	5
2358	1622	7598	261	403	40	261	3708	6001	173	347	431	724	889	480	268	3
2359	3708	6001	1012	1622	7598	0	403	40	0	2473	1131	2496	347	431	2100	3
2359	1622	7598	0	403	40	0	3708	6001	350	2473	1131	646	4160	19515	687	3
2360	403	40	0	3708	6001	350	1622	7598	0	2473	1131	646	4160	19515	687	2
2372	2725	3107	960	946	236	0	63	1050	1956	0	5333	1956	3610	5189	1600	1
2373	63	1050	651	946	236	0	2725	3107	425	0	5333	651	267	3670	665	3
2378	946	236	0	1730	15564	0	526	3918	1180	1190	1597	2140	3153	6816	0	5
2388	1188	3200	1592	1730	15564	1248	3153	6816	1248	842	956	1628	67	2329	1628	3
2389	1188	3200	2492	3153	6816	900	1184	228	1188	526	3918	1528	1730	15564	900	5
2389	1184	228	1188	3153	6816	900	1730	15564	900	526	3918	1528	1188	3200	2492	3
2390	1617	1259	0	217	216	0	1816	3919	1884	233	1470	0	163	1310	2200	1
2391	1223	42422	919	217	216	0	1617	1259	0	233	1470	0	1816	3919	609	1
2391	1816	3919	1884	217	216	0	1617	1259	0	233	1470	0	163	1310	2200	3
2396	1617	1259	0	217	216	0	1816	3919	1884	233	1470	0	163	1310	2200	1
3002	233	1470	0	663	1195	0	114	359	690	274	5555	690	1841	7523	690	5
3006	817	1505	1396	995	1513	0	75	3954	0	0	281	1396	1344	2562	0	5
3008	75	3954	0	995	1513	0	1344	2562	0	0	281	1396	817	1505	1396	3
3009	0	281	1396	1344	2562	0	75	3954	0	995	1513	0	817	1505	1396	4
3011	1335	5049	1800	1504	198	1732	136	249	3332	1324	2309	1800	671	1492	0	5
3023	3400	17619	1400	27	120	0	1668	10866	0	2701	4208	0	666	1355	1600	4
3024	1668	10866	0	27	120	0	2701	4208	0	3400	17619	1400	554	2979	2300	3
3029	1668	10866	900	27	120	968	2701	4208	900	3400	17619	1300	554	2979	2600	3
3031	610	47	0	4160	19515	1046	262	930	0	436	885	0	368	3797	588	2
3037	2925	4548	0	6330	11383	0	1645	7010	1200	1000	665	1200	262	930	0	1
3037	6330	11383	0	2925	4548	0	1645	7010	1200	1000	665	1200	3400	17619	1900	2
3041	1184	228	527	526	3918	547	0	955	0	231	2347	739	2063	3878	739	2
